player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date
1,David Raya Martín,Raya,Arsenal,6.0,35.5,19781,55859,3.7,1620,a,2025-12-30
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,4.1,0.4,246,497,0.0,0,a,2025-12-30
3,Karl Hein,Hein,Arsenal,4.0,0.2,0,204,0.0,0,u,2025-12-30
4,Tommy Setford,Setford,Arsenal,3.9,0.3,1071,606,0.0,0,a,2025-12-30
5,Gabriel dos Santos Magalhães,Gabriel,Arsenal,6.3,14.1,201650,11472,0.2,1009,a,2025-12-30
6,William Saliba,Saliba,Arsenal,5.9,11.6,39715,15471,1.7,1084,a,2025-12-30
7,Riccardo Calafiori,Calafiori,Arsenal,5.7,9.6,5471,86386,2.3,1256,d,2025-12-30
8,Jurriën Timber,J.Timber,Arsenal,6.4,29.4,12467,429586,2.3,1377,d,2025-12-30
9,Jakub Kiwior,Kiwior,Arsenal,5.4,0.0,0,21,0.0,0,u,2025-12-30
10,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,5.1,1.6,1655,5261,0.5,265,a,2025-12-30
11,Benjamin White,White,Arsenal,5.1,0.7,27,20885,2.7,280,i,2025-12-30
13,Brayden Clarke,Clarke,Arsenal,3.8,0.5,670,1113,0.0,0,a,2025-12-30
14,Maldini Kacurri,Kacurri,Arsenal,3.9,0.1,0,74,0.0,0,u,2025-12-30
15,Josh Nichols,Nichols,Arsenal,3.8,0.2,137,287,0.0,0,a,2025-12-30
16,Bukayo Saka,Saka,Arsenal,10.3,21.3,45029,82912,6.0,1238,a,2025-12-30
17,Martin Ødegaard,Ødegaard,Arsenal,7.8,1.8,14406,2765,3.3,624,a,2025-12-30
18,Noni Madueke,Madueke,Arsenal,6.8,0.7,826,4837,0.8,420,a,2025-12-30
19,Gabriel Martinelli Silva,Martinelli,Arsenal,6.8,0.9,922,2674,1.2,408,a,2025-12-30
20,Leandro Trossard,Trossard,Arsenal,6.9,1.0,5748,9811,2.0,952,a,2025-12-30
21,Declan Rice,Rice,Arsenal,7.2,26.2,116727,42848,5.2,1515,a,2025-12-30
22,Mikel Merino Zazón,Merino,Arsenal,5.8,2.8,7102,43033,4.5,849,a,2025-12-30
23,Fábio Ferreira Vieira,Fábio Vieira,Arsenal,5.4,0.0,0,4,0.0,0,u,2025-12-30
24,Christian Nørgaard,Nørgaard,Arsenal,5.1,0.1,146,182,0.0,14,a,2025-12-30
25,Ethan Nwaneri,Nwaneri,Arsenal,5.1,0.1,90,203,0.0,165,a,2025-12-30
26,Martín Zubimendi Ibáñez,Zubimendi,Arsenal,5.2,2.2,2659,8544,1.8,1500,a,2025-12-30
28,Ismeal Kabia,Kabia,Arsenal,4.5,0.1,0,63,0.0,0,u,2025-12-30
29,Albert Sambi Lokonga,Sambi,Arsenal,4.5,0.1,0,18,0.0,0,u,2025-12-30
30,Kai Havertz,Havertz,Arsenal,7.3,0.3,99,123,0.0,30,d,2025-12-30
31,Gabriel Fernando de Jesus,G.Jesus,Arsenal,6.4,0.2,1215,2543,0.5,53,a,2025-12-30
266,Eberechi Eze,Eze,Arsenal,7.5,12.7,5670,182946,0.8,991,a,2025-12-30
662,Cristhian Mosquera,Mosquera,Arsenal,5.4,0.1,12,250,0.3,429,i,2025-12-30
666,Viktor Gyökeres,Gyökeres,Arsenal,8.8,9.9,3859,25751,1.8,1085,a,2025-12-30
700,Max Dowman,Dowman,Arsenal,4.3,0.4,875,1965,0.0,27,i,2025-12-30
711,Andre Harriman-Annous,Harriman-Annous,Arsenal,4.5,0.0,19,34,0.0,0,a,2025-12-30
725,Piero Hincapié,Hincapie,Arsenal,5.5,2.3,5809,31923,4.5,653,a,2025-12-30
759,Marli Salmon,Salmon,Arsenal,4.0,0.0,53,76,0.0,0,a,2025-12-30
32,Emiliano Martínez Romero,Martinez,Aston Villa,5.0,3.1,8233,8247,2.7,1260,a,2025-12-30
33,Marco Bizot,M.Bizot,Aston Villa,4.2,0.4,110,730,0.3,360,a,2025-12-30
34,Joe Gauci,Gauci,Aston Villa,4.0,0.1,0,135,0.0,0,u,2025-12-30
35,Filip Marschall,Marschall,Aston Villa,4.0,0.0,0,9,0.0,0,u,2025-12-30
36,Matty Cash,Cash,Aston Villa,4.9,10.6,8526,263285,3.7,1592,s,2025-12-30
37,Lucas Digne,Digne,Aston Villa,4.5,1.6,3154,8624,1.8,1009,a,2025-12-30
38,Ezri Konsa Ngoyo,Konsa,Aston Villa,4.4,7.4,11216,18716,3.0,1505,a,2025-12-30
39,Ian Maatsen,Maatsen,Aston Villa,4.2,0.5,2264,1325,1.3,603,a,2025-12-30
40,Tyrone Mings,Mings,Aston Villa,4.3,0.6,35,792,0.0,497,d,2025-12-30
41,Pau Torres,Pau,Aston Villa,4.3,0.3,38,3744,1.7,952,d,2025-12-30
42,Andrés García,A.García,Aston Villa,3.9,0.2,254,510,0.0,0,a,2025-12-30
43,Álex Moreno Lopera,Alex Moreno,Aston Villa,4.0,1.8,0,2535,0.0,0,u,2025-12-30
44,Lamare Bogarde,Bogarde,Aston Villa,4.0,0.5,798,1476,0.7,327,a,2025-12-30
45,Lino da Cruz Sousa,Sousa,Aston Villa,3.9,0.3,160,355,0.0,0,a,2025-12-30
46,Yasin Özcan,Yasin,Aston Villa,4.0,0.1,0,95,0.0,0,u,2025-12-30
47,Morgan Rogers,Rogers,Aston Villa,7.4,22.8,238532,60269,7.0,1606,a,2025-12-30
48,Youri Tielemans,Tielemans,Aston Villa,5.9,0.8,6241,2209,3.5,871,a,2025-12-30
49,Leon Bailey,Bailey,Aston Villa,5.5,0.1,0,37,0.0,0,u,2025-12-30
50,Emiliano Buendía Stati,Buendía,Aston Villa,5.3,0.4,1418,4007,2.2,619,a,2025-12-30
51,Samuel Iling-Junior,Iling Jr,Aston Villa,5.5,0.0,0,4,0.0,0,u,2025-12-30
53,Donyell Malen,Malen,Aston Villa,5.1,0.8,1466,5630,2.2,587,a,2025-12-30
54,John McGinn,McGinn,Aston Villa,5.4,0.7,3454,4281,3.3,1375,a,2025-12-30
55,Ross Barkley,Barkley,Aston Villa,4.8,0.0,9,73,0.2,114,i,2025-12-30
56,Enzo Barrenechea,Barrenechea,Aston Villa,5.0,0.0,0,0,0.0,0,u,2025-12-30
57,Lewis Dobbin,Dobbin,Aston Villa,5.0,0.0,0,11,0.0,0,u,2025-12-30
58,Boubacar Kamara,Kamara,Aston Villa,4.9,0.5,1539,12935,4.5,1239,s,2025-12-30
59,Amadou Onana,Onana,Aston Villa,4.8,0.8,3893,3211,3.5,841,a,2025-12-30
60,Ben Broggio,Broggio,Aston Villa,4.5,0.3,407,638,0.0,0,a,2025-12-30
61,Leander Dendoncker,Dendoncker,Aston Villa,4.5,0.1,0,71,0.0,0,u,2025-12-30
62,Jamaldeen Jimoh-Aloba,Jimoh-Aloba,Aston Villa,4.5,0.1,85,116,0.0,0,a,2025-12-30
63,Kadan Young,Young,Aston Villa,4.3,0.7,2201,2100,0.0,0,a,2025-12-30
64,Ollie Watkins,Watkins,Aston Villa,8.5,7.4,40262,13643,6.3,1299,a,2025-12-30
65,Zépiqueno Redmond,Redmond,Aston Villa,4.5,0.3,0,244,0.0,0,u,2025-12-30
389,Harvey Elliott,Elliott,Aston Villa,5.2,0.2,21,437,0.0,97,d,2025-12-30
456,Jadon Sancho,Sancho,Aston Villa,5.8,0.2,562,298,0.5,157,a,2025-12-30
677,Evann Guessand,Guessand,Aston Villa,6.2,0.0,3,162,1.5,511,n,2025-12-30
688,James Wright,Wright,Aston Villa,3.9,0.6,797,1096,0.0,0,a,2025-12-30
701,Triston Rowe,Rowe,Aston Villa,4.0,0.1,0,51,0.0,0,u,2025-12-30
702,Bradley Burrowes,Burrowes,Aston Villa,4.4,0.1,55,89,0.0,16,a,2025-12-30
703,Sam Proctor,Proctor,Aston Villa,3.9,0.6,4253,1967,0.0,0,a,2025-12-30
710,Travis Patterson,Patterson,Aston Villa,3.9,0.2,76,444,0.0,0,a,2025-12-30
719,Victor Lindelöf,Lindelöf,Aston Villa,4.5,0.1,923,259,1.5,295,a,2025-12-30
754,George Hemmings,George Hemmings,Aston Villa,4.5,0.0,27,21,0.0,0,a,2025-12-30
757,Ronnie Hollingshead,Hollingshead,Aston Villa,4.0,0.0,43,35,0.0,0,a,2025-12-30
768,Leon Routh,Leon Routh,Aston Villa,4.0,0.0,44,26,0.0,0,a,2025-12-30
183,Max Weiß,Weiss,Burnley,4.3,0.1,119,202,0.0,0,a,2025-12-30
184,Etienne Green,Green,Burnley,4.0,0.2,0,245,0.0,0,u,2025-12-30
185,Václav Hladký,Hladký,Burnley,3.9,0.2,176,475,0.0,0,a,2025-12-30
186,Connor Roberts,Roberts,Burnley,4.4,0.0,12,21,0.0,0,i,2025-12-30
187,Kyle Walker,Walker,Burnley,4.4,1.2,2415,1686,2.0,1516,a,2025-12-30
188,Hannes Delcroix,Delcroix,Burnley,3.8,0.3,377,968,0.0,0,a,2025-12-30
189,Owen Dodgson,Dodgson,Burnley,4.0,0.0,0,10,0.0,0,u,2025-12-30
190,Hjalmar Ekdal,Ekdal,Burnley,3.9,0.9,4755,1682,3.8,983,a,2025-12-30
191,Maxime Estève,Estève,Burnley,3.9,10.0,2145,67990,1.6,1432,d,2025-12-30
192,Quilindschy Hartman,Hartman,Burnley,4.0,0.9,1807,6805,1.2,1337,a,2025-12-30
193,Bashir Humphreys,Humphreys,Burnley,3.9,0.1,257,73,1.6,92,a,2025-12-30
194,Jordan Beyer,Jordan,Burnley,3.9,0.1,13,62,0.0,0,i,2025-12-30
195,Lucas Pires Silva,Lucas Pires,Burnley,3.8,0.2,810,543,1.0,231,a,2025-12-30
196,Shurandy Sambo,Sambo,Burnley,4.0,0.0,0,24,0.0,0,u,2025-12-30
197,Oliver Sonne,Sonne,Burnley,3.8,0.3,1039,1571,1.6,128,a,2025-12-30
198,Axel Tuanzebe,Tuanzebe,Burnley,3.9,1.1,29,4786,0.2,706,n,2025-12-30
199,Joe Worrall,Worrall,Burnley,3.8,0.2,63,747,0.6,154,d,2025-12-30
200,Jaidon Anthony,Anthony,Burnley,5.2,2.2,884,9863,1.2,1139,a,2025-12-30
201,Manuel Benson Hedilazio,Benson,Burnley,5.4,0.0,0,6,0.0,0,u,2025-12-30
202,Jacob Bruun Larsen,Bruun Larsen,Burnley,5.3,0.0,226,128,2.2,783,a,2025-12-30
203,Enock Agyei,Boateng,Burnley,4.7,0.0,114,127,0.0,0,a,2025-12-30
204,Darko Churlinov,Churlinov,Burnley,4.9,0.0,0,4,0.0,0,u,2025-12-30
205,Josh Cullen,Cullen,Burnley,5.0,1.7,729,20604,2.6,1513,d,2025-12-30
206,Marcus Edwards,Edwards,Burnley,4.7,0.1,360,195,2.0,183,a,2025-12-30
207,Hannibal Mejbri,Hannibal,Burnley,4.7,0.1,23,138,0.2,395,n,2025-12-30
208,Luca Koleosho,Koleosho,Burnley,5.0,0.0,0,1,0.0,0,u,2025-12-30
209,Josh Laurent,Laurent,Burnley,4.8,0.0,119,52,1.8,783,a,2025-12-30
210,Loum Tchaouna,Tchaouna,Burnley,4.9,0.0,27,94,0.4,653,a,2025-12-30
211,Aaron Ramsey,A.Ramsey,Burnley,4.4,1.6,0,1911,0.0,0,u,2025-12-30
212,Oluwaseun Adewumi,Adewumi,Burnley,4.5,0.0,0,6,0.0,0,u,2025-12-30
213,Jaydon Banel,Banel,Burnley,4.5,0.0,109,148,0.0,0,a,2025-12-30
214,Mike Trésor Ndayishimiye,Trésor,Burnley,4.4,0.1,202,414,0.6,17,a,2025-12-30
215,Zian Flemming,Flemming,Burnley,5.3,0.6,1877,7258,1.8,660,a,2025-12-30
216,Zeki Amdouni,Amdouni,Burnley,4.8,0.0,25,45,0.0,0,i,2025-12-30
217,Lyle Foster,Foster,Burnley,4.9,0.9,95,4276,1.0,866,n,2025-12-30
218,Ashley Barnes,Barnes,Burnley,4.3,1.2,1469,3503,0.0,7,a,2025-12-30
219,Michael Obafemi,Obafemi,Burnley,4.4,0.1,0,113,0.0,0,u,2025-12-30
470,Martin Dúbravka,Dúbravka,Burnley,4.0,33.2,24765,16117,3.8,1620,a,2025-12-30
676,Lesley Ugochukwu,Ugochukwu,Burnley,5.0,0.1,793,801,3.4,1051,a,2025-12-30
680,Armando Broja,Broja,Burnley,5.2,0.2,1551,1164,2.8,398,a,2025-12-30
722,Florentino Ibrain Morris Luís,Florentino,Burnley,5.0,0.0,81,186,1.4,1046,a,2025-12-30
66,Norberto Murara Neto,Neto,Bournemouth,4.5,0.1,0,62,0.0,0,u,2025-12-30
67,Đorđe Petrović,Petrović,Bournemouth,4.5,5.1,1055,25432,2.2,1620,a,2025-12-30
68,Will Dennis,Dennis,Bournemouth,4.0,0.9,235,1172,0.0,0,a,2025-12-30
69,Callan McKenna,McKenna,Bournemouth,3.9,0.2,919,361,0.0,0,a,2025-12-30
70,Alex Paulsen,Paulsen,Bournemouth,4.0,0.1,0,76,0.0,0,u,2025-12-30
71,Illia Zabarnyi,Zabarnyi,Bournemouth,5.0,0.0,0,6,0.0,0,u,2025-12-30
72,Marcos Senesi Barón,Senesi,Bournemouth,4.9,15.7,16663,98086,3.0,1488,a,2025-12-30
73,Adam Smith,Smith,Bournemouth,4.4,0.2,209,663,1.6,521,a,2025-12-30
74,Adrien Truffert,Truffert,Bournemouth,4.5,2.1,1847,21519,3.2,1578,a,2025-12-30
75,Matai Akinmboni,Akinmboni,Bournemouth,3.8,0.2,102,323,0.0,0,d,2025-12-30
76,Owen Bevan,Bevan,Bournemouth,3.9,0.2,89,233,0.0,0,a,2025-12-30
77,James Hill,Hill,Bournemouth,3.9,0.6,304,1755,0.4,302,a,2025-12-30
78,Julián Araujo Zúñiga,J.Araujo,Bournemouth,3.8,0.7,818,1812,0.0,0,a,2025-12-30
79,Chris Mepham,Mepham,Bournemouth,4.0,0.1,0,60,0.0,0,u,2025-12-30
80,Julio Soler Barreto,Soler,Bournemouth,4.0,0.2,379,451,0.4,34,a,2025-12-30
81,Justin Kluivert,Kluivert,Bournemouth,7.0,0.8,1306,5643,2.0,751,a,2025-12-30
82,Antoine Semenyo,Semenyo,Bournemouth,7.7,46.5,110741,124788,6.4,1530,a,2025-12-30
84,Marcus Tavernier,Tavernier,Bournemouth,5.6,2.9,7173,36136,4.2,1426,a,2025-12-30
85,Tyler Adams,Adams,Bournemouth,5.0,0.3,16,1750,0.4,1196,i,2025-12-30
86,David Brooks,Brooks,Bournemouth,5.0,0.2,312,520,1.0,763,a,2025-12-30
87,Ryan Christie,Christie,Bournemouth,4.9,0.1,136,101,0.2,287,a,2025-12-30
88,Lewis Cook,Cook,Bournemouth,4.9,0.0,189,133,1.6,394,a,2025-12-30
89,Philip Billing,Philip,Bournemouth,4.9,0.0,0,9,0.0,0,u,2025-12-30
90,Alex Scott,Scott,Bournemouth,5.0,0.3,647,1099,3.4,1155,d,2025-12-30
91,Luis Sinisterra Lucumí,Sinisterra,Bournemouth,5.0,0.0,0,1,0.0,0,u,2025-12-30
92,Romain Faivre,Faivre,Bournemouth,4.5,0.1,0,56,0.0,0,u,2025-12-30
93,Hamed Traorè,H.Traorè,Bournemouth,4.5,0.3,0,274,0.0,16,u,2025-12-30
94,Dominic Sadi,Sadi,Bournemouth,4.5,0.0,0,23,0.0,0,u,2025-12-30
95,Zain Silcott-Duberry,Silcott-Duberry,Bournemouth,4.4,0.1,0,76,0.0,0,u,2025-12-30
96,Ben Winterburn,Winterburn,Bournemouth,4.5,0.0,0,22,0.0,6,u,2025-12-30
97,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,7.0,1.6,1484,18380,2.4,1189,a,2025-12-30
98,Enes Ünal,Enes Ünal,Bournemouth,5.4,0.0,193,391,0.4,61,a,2025-12-30
99,Daniel Adu-Adjei,Adu-Adjei,Bournemouth,4.4,0.1,0,129,0.0,0,u,2025-12-30
100,Junior Kroupi,Kroupi.Jr,Bournemouth,4.6,4.0,11720,24738,1.8,489,a,2025-12-30
391,Ben Gannon-Doak,Gannon-Doak,Bournemouth,4.8,0.0,8,48,0.0,53,i,2025-12-30
685,Bafodé Diakité,Diakité,Bournemouth,4.4,0.4,286,2422,2.4,1260,a,2025-12-30
687,Remy Rees-Dottin,Rees-Dottin,Bournemouth,4.4,0.1,52,209,0.0,0,a,2025-12-30
697,Amine Adli,Adli,Bournemouth,5.4,0.0,81,170,0.8,391,a,2025-12-30
713,Álex Jiménez Sánchez,A.Jimenez,Bournemouth,4.5,0.1,314,906,3.6,887,a,2025-12-30
721,Veljko Milosavljevic,Milosavljević,Bournemouth,4.4,0.0,10,51,0.8,365,i,2025-12-30
756,Malcom DaCosta,DaCosta,Bournemouth,4.5,0.0,56,68,0.0,0,a,2025-12-30
27,Reiss Nelson,Nelson,Brentford,4.8,0.1,110,93,0.2,32,a,2025-12-30
83,Dango Ouattara,O.Dango,Brentford,5.9,0.5,22,9474,1.6,1061,n,2025-12-30
101,Caoimhín Kelleher,Kelleher,Brentford,4.5,8.4,20802,12007,4.8,1620,a,2025-12-30
102,Ellery Balcombe,Balcombe,Brentford,3.9,0.3,321,365,0.0,0,a,2025-12-30
103,Matthew Cox,Cox,Brentford,3.9,0.2,158,352,0.0,0,a,2025-12-30
104,Julian Eyestone,Eyestone,Brentford,3.9,0.1,55,313,0.0,0,a,2025-12-30
105,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,3.9,0.7,263,1214,0.0,0,a,2025-12-30
106,Nathan Collins,Collins,Brentford,4.9,1.5,4255,6235,4.0,1546,a,2025-12-30
107,Keane Lewis-Potter,Lewis-Potter,Brentford,4.9,1.9,43082,9645,6.2,728,a,2025-12-30
108,Kristoffer Ajer,Ajer,Brentford,4.4,0.2,318,313,1.0,701,a,2025-12-30
109,Rico Henry,Henry,Brentford,4.3,0.1,461,385,2.8,518,a,2025-12-30
110,Michael Kayode,Kayode,Brentford,4.5,0.7,2425,3144,2.8,1567,a,2025-12-30
111,Ethan Pinnock,Pinnock,Brentford,4.2,0.1,207,409,0.8,228,a,2025-12-30
112,Mads Roerslev Rasmussen,Roerslev,Brentford,4.5,0.0,0,9,0.0,0,u,2025-12-30
113,Sepp van den Berg,Van den Berg,Brentford,4.5,1.1,661,16342,2.6,1530,d,2025-12-30
114,Benjamin Arthur,Arthur,Brentford,3.9,0.2,100,344,0.0,0,a,2025-12-30
115,Benjamin Fredrick,Fredrick,Brentford,4.0,0.1,0,63,0.0,0,u,2025-12-30
116,Aaron Hickey,Hickey,Brentford,4.0,0.5,1298,2728,1.6,423,a,2025-12-30
117,Kim Ji-soo,Ji-soo,Brentford,3.9,0.1,0,94,0.0,0,u,2025-12-30
118,Jayden Meghoma,Meghoma,Brentford,4.0,0.0,0,35,0.0,0,u,2025-12-30
120,Kevin Schade,Schade,Brentford,7.0,1.6,81837,5999,5.0,1413,a,2025-12-30
121,Mikkel Damsgaard,Damsgaard,Brentford,5.8,0.6,1372,3321,2.4,1041,a,2025-12-30
122,Antoni Milambo,Milambo,Brentford,5.2,0.0,4,20,0.0,45,i,2025-12-30
123,Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,4.7,0.1,11,268,0.0,100,i,2025-12-30
124,Jordan Henderson,Henderson,Brentford,5.0,0.5,2095,3771,3.0,1219,a,2025-12-30
125,Vitaly Janelt,Janelt,Brentford,4.9,0.0,560,302,3.8,488,a,2025-12-30
126,Mathias Jensen,Jensen,Brentford,4.9,0.1,236,342,2.0,616,a,2025-12-30
127,Gustavo Nunes Fernandes Gomes,Nunes,Brentford,4.9,0.0,57,56,0.0,0,a,2025-12-30
128,Frank Onyeka,Onyeka,Brentford,4.8,0.0,3,77,0.0,88,n,2025-12-30
129,Yehor Yarmoliuk,Yarmoliuk,Brentford,5.0,0.1,389,241,2.6,1305,a,2025-12-30
130,Romelle Donovan,Donovan,Brentford,4.4,0.1,172,266,0.0,0,a,2025-12-30
131,Yunus Emre Konak,Konak,Brentford,4.3,0.2,531,1013,0.0,0,a,2025-12-30
132,Paris Maghoma,Maghoma,Brentford,4.5,0.0,193,155,0.0,0,a,2025-12-30
133,Myles Peart-Harris,Peart-Harris,Brentford,4.4,0.0,64,104,0.0,0,a,2025-12-30
134,Ryan Trevitt,Trevitt,Brentford,4.5,0.0,0,0,0.0,0,u,2025-12-30
136,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,7.0,28.2,44916,176312,2.4,1491,a,2025-12-30
137,Iwan Morgan,Morgan,Brentford,4.4,0.4,645,1188,0.0,0,a,2025-12-30
748,Josh Dasilva,Dasilva,Brentford,4.9,0.0,3,5,0.0,0,i,2025-12-30
138,Jason Steele,Steele,Brighton,4.2,0.3,137,376,0.0,0,a,2025-12-30
139,Bart Verbruggen,Verbruggen,Brighton,4.4,5.6,28923,7364,4.0,1620,a,2025-12-30
140,Tom McGill,McGill,Brighton,3.9,0.3,229,494,0.0,0,a,2025-12-30
141,Carl Rushworth,Rushworth,Brighton,4.0,0.0,0,3,0.0,0,u,2025-12-30
142,Kjell Scherpen,Scherpen,Brighton,4.0,0.0,0,1,0.0,0,u,2025-12-30
143,Olivier Boscagli,Boscagli,Brighton,4.2,0.1,118,187,1.5,142,a,2025-12-30
144,Diego Coppola,Coppola,Brighton,4.2,0.1,129,94,1.2,193,a,2025-12-30
145,Maxim De Cuyper,De Cuyper,Brighton,4.3,2.5,16123,7010,5.0,808,a,2025-12-30
146,Lewis Dunk,Dunk,Brighton,4.5,0.9,3692,1684,1.2,1485,a,2025-12-30
147,Pervis Estupiñán Tenorio,Estupiñan,Brighton,4.5,0.0,0,5,0.0,0,u,2025-12-30
148,Ferdi Kadıoğlu,F.Kadıoğlu,Brighton,4.4,0.3,2275,865,2.8,1332,a,2025-12-30
150,Tariq Lamptey,Lamptey,Brighton,4.4,0.1,0,69,0.0,0,u,2025-12-30
151,Jan Paul van Hecke,Van Hecke,Brighton,4.5,4.1,36545,15705,4.5,1530,a,2025-12-30
152,Joël Veltman,Veltman,Brighton,4.3,0.1,200,228,0.5,403,a,2025-12-30
153,Adam Webster,Webster,Brighton,4.4,0.0,11,10,0.0,0,i,2025-12-30
154,Eiran Cashin,Cashin,Brighton,4.0,0.0,0,2,0.0,0,u,2025-12-30
155,Jacob Slater,Slater,Brighton,4.0,0.1,0,73,0.0,0,u,2025-12-30
156,Charlie Tasker,Tasker,Brighton,3.9,0.1,84,268,0.0,0,a,2025-12-30
157,Mitoma Kaoru,Mitoma,Brighton,6.1,1.8,1528,3671,0.3,560,a,2025-12-30
158,Georginio Rutter,Georginio,Brighton,5.6,0.4,4369,1650,2.8,1172,a,2025-12-30
159,Solly March,March,Brighton,5.8,0.0,5,14,0.0,0,i,2025-12-30
160,Yankuba Minteh,Minteh,Brighton,6.0,6.3,37699,41894,2.3,1486,a,2025-12-30
161,Julio Enciso Espínola,Enciso,Brighton,5.4,0.0,0,5,0.0,0,u,2025-12-30
162,Brajan Gruda,Gruda,Brighton,5.4,0.1,274,171,1.5,512,a,2025-12-30
163,Jack Hinshelwood,Hinshelwood,Brighton,5.1,0.1,388,243,2.8,482,a,2025-12-30
164,Matt O'Riley,O'Riley,Brighton,5.5,0.3,0,129,0.0,177,u,2025-12-30
165,Abdallah Sima,Sima,Brighton,5.4,0.0,0,2,0.0,0,u,2025-12-30
166,Yasin Ayari,Ayari,Brighton,4.8,0.2,1709,531,2.0,1257,a,2025-12-30
167,Carlos Baleba,Baleba,Brighton,4.6,1.4,122,4268,1.3,894,n,2025-12-30
169,Diego Gómez Amarilla,Gomez,Brighton,4.9,0.2,4969,503,2.7,1042,a,2025-12-30
170,James Milner,Milner,Brighton,4.9,0.1,170,203,0.3,209,a,2025-12-30
171,Jeremy Sarmiento Morante,Sarmiento,Brighton,4.9,0.0,0,8,0.0,0,u,2025-12-30
172,Tom Watson,Watson,Brighton,4.8,0.0,50,56,0.3,47,a,2025-12-30
173,Mats Wieffer,Wieffer,Brighton,4.9,0.3,1372,2336,3.0,1179,a,2025-12-30
174,Malick Yalcouyé,Yalcouye,Brighton,5.0,0.0,0,1,0.0,0,u,2025-12-30
175,Joe Knight,Knight,Brighton,4.4,0.1,119,360,0.0,1,a,2025-12-30
176,Adrian Mazilu,Mazilu,Brighton,4.5,0.0,0,10,0.0,0,u,2025-12-30
177,Andrew Moran,Moran,Brighton,4.5,0.0,0,8,0.0,0,u,2025-12-30
178,Danny Welbeck,Welbeck,Brighton,6.3,4.7,10504,42560,1.2,999,a,2025-12-30
179,Evan Ferguson,Ferguson,Brighton,5.5,0.0,0,1,0.0,0,u,2025-12-30
180,Stefanos Tzimas,Tzimas,Brighton,5.2,0.1,17,172,1.0,132,i,2025-12-30
181,Charalampos Kostoulas,Kostoulas,Brighton,4.8,0.3,623,1155,0.8,90,a,2025-12-30
744,Nehemiah Oriola,Oriola,Brighton,4.5,0.0,60,84,0.0,1,a,2025-12-30
761,Freddie Simmonds,Simmonds,Brighton,4.0,0.0,50,44,0.0,0,a,2025-12-30
168,Facundo Buonanotte,Buonanotte,Chelsea,4.6,0.1,200,227,0.0,45,a,2025-12-30
220,Robert Lynch Sánchez,Sánchez,Chelsea,4.9,14.9,23832,19725,4.5,1534,a,2025-12-30
221,Filip Jörgensen,Jörgensen,Chelsea,4.3,0.2,104,216,0.0,84,a,2025-12-30
222,Mike Penders,Penders,Chelsea,4.0,0.0,0,0,0.0,0,u,2025-12-30
223,Gabriel Słonina,Slonina,Chelsea,3.9,0.1,120,172,0.0,0,a,2025-12-30
224,Marc Cucurella Saseta,Cucurella,Chelsea,6.2,20.8,9749,135001,2.8,1504,d,2025-12-30
225,Reece James,James,Chelsea,5.7,11.2,136063,9214,5.5,1201,a,2025-12-30
226,Trevoh Chalobah,Chalobah,Chelsea,5.6,19.4,80009,57194,5.5,1470,a,2025-12-30
227,Levi Samuels Colwill,Colwill,Chelsea,4.8,0.1,13,42,0.0,0,i,2025-12-30
228,Malo Gusto,Gusto,Chelsea,5.0,2.6,11495,17449,4.7,961,a,2025-12-30
229,Benoît Badiashile Mukinayi,B.Badiashile,Chelsea,4.4,0.0,157,57,0.2,245,a,2025-12-30
230,Wesley Fofana,Fofana,Chelsea,4.4,0.5,2138,4074,3.8,667,a,2025-12-30
